                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7626,                0.22458,                 0.7061,                 2.4262,             0.00022848,             0.00022848,             0.00022848
                      2,                  2.337,                0.43623,                0.91312,                 2.2749,             0.00044572,             0.00044572,             0.00044572
                      3,                 1.8802,                0.58318,                0.97597,                 2.0898,              0.0006443,              0.0006443,              0.0006443
                      4,                 1.4429,                0.69871,                0.99908,                 2.0128,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.2061,                 0.7902,                0.99815,                 1.9153,              0.0006009,              0.0006009,              0.0006009
                      6,                 1.0574,                0.85305,                0.99908,                 1.8523,             0.00057263,             0.00057263,             0.00057263
                      7,                0.96369,                0.86229,                      1,                 1.8222,             0.00054435,             0.00054435,             0.00054435
                      8,                0.88816,                0.89464,                      1,                 1.7879,             0.00051608,             0.00051608,             0.00051608
                      9,                0.80328,                0.90665,                      1,                 1.7702,              0.0004878,              0.0004878,              0.0004878
                     10,                0.77372,                0.90758,                      1,                 1.7699,             0.00045953,             0.00045953,             0.00045953
                     11,                0.73152,                0.90481,                      1,                 1.7651,             0.00043126,             0.00043126,             0.00043126
                     12,                0.69436,                0.92329,                      1,                 1.7465,             0.00040298,             0.00040298,             0.00040298
                     13,                0.65761,                0.91497,                      1,                 1.7452,             0.00037471,             0.00037471,             0.00037471
                     14,                0.65562,                0.93068,                      1,                 1.7286,             0.00034643,             0.00034643,             0.00034643
                     15,                0.63153,                0.92976,                      1,                  1.726,             0.00031816,             0.00031816,             0.00031816
                     16,                0.62431,                0.92144,                      1,                 1.7282,             0.00028988,             0.00028988,             0.00028988
                     17,                 0.6102,                0.95102,                      1,                 1.7139,             0.00026161,             0.00026161,             0.00026161
                     18,                0.58917,                 0.9427,                      1,                  1.715,             0.00023334,             0.00023334,             0.00023334
                     19,                0.57548,                0.93623,                      1,                 1.7164,             0.00020506,             0.00020506,             0.00020506
                     20,                0.55369,                0.94085,                      1,                 1.7096,             0.00017679,             0.00017679,             0.00017679
                     21,                0.55257,                  0.939,                      1,                 1.7029,             0.00014851,             0.00014851,             0.00014851
                     22,                0.54914,                0.95009,                      1,                 1.7016,             0.00012024,             0.00012024,             0.00012024
                     23,                 0.5268,                0.94917,                      1,                 1.7015,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.53989,                0.94917,                      1,                 1.7009,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.54981,                0.95194,                      1,                 1.6954,             3.5414e-05,             3.5414e-05,             3.5414e-05
